3034910;Arrondissement de Bar-le-Duc;
3034801;Arrondissement de Bar-sur-Aube;
3034639;Arrondissement de Bastia;
3034482;Arrondissement de Bayeux;
3034473;Arrondissement de Bayonne;
3034125;Arrondissement de Beaune;
3034005;Arrondissement de Beauvais;
3033790;Arrondissement de Belfort;
3033765;Arrondissement de Bellac;
3033623;Arrondissement de Belley;
3033390;Arrondissement de Bergerac;
3033307;Arrondissement de Bernay;
3033122;Arrondissement de Besançon;
3033000;Arrondissement de Béthune;
3032832;Arrondissement de Béziers;
3032294;Arrondissement de Blaye;
3032212;Arrondissement de Blois;
6457371;Arrondissement de Bobigny;
3031676;Arrondissement de Bonneville;
3031580;Arrondissement de Bordeaux;
3031181;Arrondissement de Boulay-Moselle;
6457370;Arrondissement de Boulogne-Billancourt;
3031132;Arrondissement de Boulogne-sur-Mer;
3031008;Arrondissement de Bourg-en-Bresse;
3031004;Arrondissement de Bourges;
3030302;Arrondissement de Bressuire;
3030299;Arrondissement de Brest;
3030140;Arrondissement de Briançon;
3030070;Arrondissement de Briey;
3030056;Arrondissement de Brignoles;
3029994;Arrondissement de Brioude;
3029973;Arrondissement de Brive-la-Gaillarde;
3029240;Arrondissement de Caen;
3029212;Arrondissement de Cahors;
3029161;Arrondissement de Calais;
3029089;Arrondissement de Calvi;
3029029;Arrondissement de Cambrai;
3028640;Arrondissement de Carcassonne;
3028541;Arrondissement de Carpentras;
3028381;Arrondissement de Castellane;
3028321;Arrondissement de Castelsarrasin;
3028260;Arrondissement de Castres;
3027887;Arrondissement de Céret;
3027486;Arrondissement de Châlons-en-Champagne;
3027483;Arrondissement de Chalon-sur-Saône;
3027421;Arrondissement de Chambéry;
3026612;Arrondissement de Charleville-Mézières;
3026514;Arrondissement de Charolles;
3026466;Arrondissement de Chartres;
3026302;Arrondissement de Châteaubriant;
3026297;Arrondissement de Château-Chinon;
3026284;Arrondissement de Châteaudun;
3026272;Arrondissement de Château-Gontier;
3026260;Arrondissement de Châteaulin;
3026202;Arrondissement de Châteauroux;
3026199;Arrondissement de Château-Salins;
3026193;Arrondissement de Château-Thierry;
3026140;Arrondissement de Châtellerault;
3025888;Arrondissement de Chaumont;
3025465;Arrondissement de Cherbourg;
3025131;Arrondissement de Chinon;
3025052;Arrondissement de Cholet;
3024780;Arrondissement de Clamecy;
3024642;Arrondissement de Clermont;
3024634;Arrondissement de Clermont-Ferrand;
3024439;Arrondissement de Cognac;
3024296;Arrondissement de Colmar;
3024085;Arrondissement de Commercy;
3024065;Arrondissement de Compiègne;
3023942;Arrondissement de Condom;
3023918;Arrondissement de Confolens;
3023505;Arrondissement de Corte;
3023475;Arrondissement de Cosne-Cours-sur-Loire;
3022825;Arrondissement de Coutances;
6457373;Arrondissement de Créteil;
3021669;Arrondissement de Dax;
3021434;Arrondissement de Die;
3021410;Arrondissement de Dieppe;
3021381;Arrondissement de Digne;
3021371;Arrondissement de Dijon;
3021353;Arrondissement de Dinan;
3021262;Arrondissement de Dole;
3020999;Arrondissement de Douai;
3020849;Arrondissement de Draguignan;
3020809;Arrondissement de Dreux;
3020685;Arrondissement de Dunkerque;
3018505;Arrondissement de Figeac;
3018236;Arrondissement de Florac;
3018172;Arrondissement de Foix;
6457362;Arrondissement de Fontainebleau;
3017920;Arrondissement de Fontenay-le-Comte;
3017804;Arrondissement de Forbach;
3017797;Arrondissement de Forcalquier;
3017608;Arrondissement de Fougères-Vitré;
3016701;Arrondissement de Gap;
3016142;Arrondissement de Gex;
3015540;Arrondissement de Gourdon;
3014855;Arrondissement de Grasse;
3014727;Arrondissement de Grenoble;
3014432;Arrondissement de Guebwiller;
3014382;Arrondissement de Guéret;
3014220;Arrondissement de Guingamp;
3014077;Arrondissement de Haguenau;
3012265;Arrondissement de Jonzac;
3010153;Arrondissement de La Châtre;
6457361;Arrondissement de La Flèche;
3006783;Arrondissement de La Rochelle;
3006766;Arrondissement de La Roche-sur-Yon;
3006201;Arrondissement de La Tour-du-Pin;
3007688;Arrondissement de Langon;
3007679;Arrondissement de Langres;
3007608;Arrondissement de Lannion;
3007476;Arrondissement de Laon;
3006956;Arrondissement de Largentière;
3005865;Arrondissement de Laval;
3003091;Arrondissement de Lens;
3000071;Arrondissement de Lesparre-Médoc;
6457375;Arrondissement de L'Haÿ-les-Roses;
2998516;Arrondissement de Libourne;
2998323;Arrondissement de Lille;
2998285;Arrondissement de Limoges;
2998262;Arrondissement de Limoux;
2998149;Arrondissement de Lisieux;
2997995;Arrondissement de Loches;
2997935;Arrondissement de Lodève;
2997625;Arrondissement de Lons-le-Saunier;
2997576;Arrondissement de Lorient;
2997438;Arrondissement de Louhans;
2997109;Arrondissement de Lunéville;
2997075;Arrondissement de Lure;
2996943;Arrondissement de Lyon;
2996881;Arrondissement de Mâcon;
2996290;Arrondissement de Mamers;
2996147;Arrondissement de Mantes-la-Jolie;
2995640;Arrondissement de Marmande;
2995468;Arrondissement de Marseille;
2995023;Arrondissement de Mauriac;
2994933;Arrondissement de Mayenne;
2994797;Arrondissement de Meaux;
2994650;Arrondissement de Melun;
2994616;Arrondissement de Mende;
2994159;Arrondissement de Metz-Campagne;
2994149;Arrondissement de Metz-Ville;
2993874;Arrondissement de Millau;
2993747;Arrondissement de Mirande;
2993475;Arrondissement de Molsheim;
2993023;Arrondissement de Montargis;
2993000;Arrondissement de Montauban;
2992952;Arrondissement de Montbard;
2992937;Arrondissement de Montbéliard;
